epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,205.663,0.94216,0.83545,1.04863,0.46244,0.49009,0.40464,0.24809,1.55265,3.65871,1.58619,0.00081708,0.00081708,0.00081708
105,207.221,1.08617,0.84247,1.07058,0.46244,0.49009,0.40464,0.24809,1.55265,3.65871,1.58619,0.000808828,0.000808828,0.000808828
106,208.816,1.01529,0.91214,1.06443,0.46843,0.45635,0.39784,0.24377,1.56481,4.84772,1.60313,0.000800577,0.000800577,0.000800577
107,210.407,0.92949,0.78824,1.06315,0.46843,0.45635,0.39784,0.24377,1.56481,4.84772,1.60313,0.000792325,0.000792325,0.000792325
108,212.028,1.0748,0.93552,1.16002,0.38712,0.48783,0.37799,0.2336,1.53682,4.57685,1.61675,0.000784073,0.000784073,0.000784073
109,213.591,0.94984,0.73389,1.06258,0.38712,0.48783,0.37799,0.2336,1.53682,4.57685,1.61675,0.000775822,0.000775822,0.000775822
110,215.197,0.97046,0.84326,1.04991,0.38983,0.50843,0.38922,0.2469,1.4834,3.41696,1.53552,0.00076757,0.00076757,0.00076757
111,216.776,1.0045,0.79801,1.08451,0.38983,0.50843,0.38922,0.2469,1.4834,3.41696,1.53552,0.000759318,0.000759318,0.000759318
112,218.762,1.17094,0.93728,1.09894,0.27863,0.46443,0.31866,0.22171,1.59084,4.12079,1.56907,0.000751067,0.000751067,0.000751067
113,220.986,1.01627,0.80452,1.02666,0.27863,0.46443,0.31866,0.22171,1.59084,4.12079,1.56907,0.000742815,0.000742815,0.000742815
114,223.764,1.13729,0.86638,1.11301,0.22035,0.38896,0.25749,0.16292,1.81644,6.33477,1.77972,0.000734564,0.000734564,0.000734564
115,226.548,1.01883,0.86445,1.0833,0.22035,0.38896,0.25749,0.16292,1.81644,6.33477,1.77972,0.000726312,0.000726312,0.000726312
116,229.374,0.92443,0.82401,1.02937,0.21302,0.43521,0.28159,0.18538,1.66748,5.58893,1.63328,0.00071806,0.00071806,0.00071806
117,232.159,0.97638,0.82349,1.09345,0.21302,0.43521,0.28159,0.18538,1.66748,5.58893,1.63328,0.000709809,0.000709809,0.000709809
118,234.961,1.04769,0.76736,1.03922,0.40881,0.43409,0.40772,0.29007,1.47286,3.75934,1.50856,0.000701557,0.000701557,0.000701557
119,238.134,0.8885,0.6718,0.99798,0.40881,0.43409,0.40772,0.29007,1.47286,3.75934,1.50856,0.000693305,0.000693305,0.000693305
120,241.267,0.89476,0.71031,1.02892,0.49268,0.52557,0.42945,0.31639,1.42466,3.12954,1.46121,0.000685054,0.000685054,0.000685054
